카드 ID,카드명,카드 브랜드,체크/신용,이미지 URL,카드 디테일 링크,통합혜택,대분류태그,소분류태그
393,Easy auto 티타늄카드,KB국민카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/488/card_img/21178/488card.png,https://www.card-gorilla.com/card/detail/488,주유 리터당 점 포인트리 적립 자동차 하이패스 오토케어 보험 자동차보험 만점 OTT 영화 문화 천점 카페 디저트 제과 아이스크림 편의점 올리브영 국내 외 가맹점 프리미엄 서비스 Easy auto 티타늄,"['디저트', '공연/전시', '식사', '소매/유통', '생활서비스']","['음/식료품소매', '화장품소매', '교통서비스', '연료판매', '제과/제빵/떡/케익', '문화서비스', '커피/음료', '수리서비스']"
394,Easy fly 티타늄카드,KB국민카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/489/card_img/21179/489card.png,https://www.card-gorilla.com/card/detail/489,여행 숙박 할인 전 가맹점 생활 Easy fly 서비스 프리미엄 티타늄,"['디저트', '여가/오락']","['커피/음료', '숙박']"
395,11번가 신한카드,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/490/card_img/21180/490card.png,https://www.card-gorilla.com/card/detail/490,적립 국내외 가맹점 이용금액 SK pay 포인트 온라인쇼핑 번가에서 결제 시,['전자상거래'],['인터넷쇼핑']
396,11번가 신한카드 체크,신한카드,체크카드,https://d1c5n4ri2guedi.cloudfront.net/card/491/card_img/21181/491card.png,https://www.card-gorilla.com/card/detail/491,적립 국내외 가맹점 이용금액 SK pay 포인트 온라인쇼핑 번가에서 결제 시,['전자상거래'],['인터넷쇼핑']
397,현대카드M Edition3,현대카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/492/card_img/21182/492card.png,https://www.card-gorilla.com/card/detail/492,적립 모든 가맹점에서 기본 M포인트 적립제휴 온라인쇼핑 시 추가 멤버십포인트 일상생활 쇼핑 자동차구매 H Coin 현대카드 Gift카드 등 다양한 사용처에서 사용,"['전자상거래', '생활서비스']",['인터넷쇼핑']
398,현대카드M2 Edition3,현대카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/493/card_img/21183/493card.png,https://www.card-gorilla.com/card/detail/493,적립 모든 가맹점에서 기본 M포인트 적립온라인쇼핑 시 추가 멤버십포인트 일상생활 쇼핑 자동차구매 H Coin 현대카드 Gift카드 등다양한 사용처에서 사용 프리미엄 서비스 플래티넘,"['디저트', '전자상거래', '생활서비스']","['커피/음료', '인터넷쇼핑']"
399,현대카드M3 Edition3,현대카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/494/card_img/21184/494card.png,https://www.card-gorilla.com/card/detail/494,적립 모든 가맹점에서 기본 M포인트 적립월 만원 이상 이용 시 배 멤버십포인트 일상생활 쇼핑 자동차구매 H Coin 현대카드 Gift카드 등다양한 사용처에서 사용 프리미엄 서비스 플래티넘서비스,"['디저트', '생활서비스']",['커피/음료']
400,씨티 글로벌 월렛 체크카드,씨티카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/496/card_img/21185/496card.png,https://www.card-gorilla.com/card/detail/496,수수료우대 해외쇼핑 및 직구 시 해외결제수수료 완전무료 점심 점심식사 할인 온라인쇼핑 온라인 쇼핑 영화 편의점,"['전자상거래', '소매/유통']","['음/식료품소매', '인터넷쇼핑']"
401,NEW농촌사랑체크카드,NH농협카드,체크카드,https://d1c5n4ri2guedi.cloudfront.net/card/497/card_img/21186/497card.png,https://www.card-gorilla.com/card/detail/497,적립 Point Pack NH포인트 최대 주유소 Auto GS칼텍스 L당 원 주유할인 LPG제외 생활 Joy 농협판매장 놀이공원 영화 통신요금 할인 기타 기타서비스,"['생활서비스', '여가/오락']","['교통서비스', '취미/오락', '연료판매']"
402,농부의마음 Farmers Heart 체크카드,NH농협카드,체크카드,https://d1c5n4ri2guedi.cloudfront.net/card/498/card_img/21187/498card.png,https://www.card-gorilla.com/card/detail/498,적립 일상생활 농협계통업종 농업관련업종 NH포인트,['생활서비스'],['전문서비스']
403,체크카드,NH농협카드,체크카드,https://d1c5n4ri2guedi.cloudfront.net/card/499/card_img/21188/499card.png,https://www.card-gorilla.com/card/detail/499,적립 농협판매장 NH포인트 주유 농협운영주유소 GS칼텍스 및 할인 OTT 영화 문화 문화서비스 수수료우대 외화 환전 우대 서비스 생활 기타,"['공연/전시', '생활서비스']","['문화서비스', '연료판매']"
404,신세계면세점 SSG카드,SSGPAY. CARD,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/500/card_img/21189/500card.png,https://www.card-gorilla.com/card/detail/500,모든가맹점 전 가맹점 적립 청구할인 면세점 신세계면세점 선불카드 만원 증정 공항라운지 PP 및 발레파킹 서비스 신세계포인트 이용 시,['생활서비스'],['전문서비스']
405,이마트에브리데이 SSG카드,SSGPAY. CARD,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/501/card_img/21190/501card.png,https://www.card-gorilla.com/card/detail/501,모든가맹점 실적 관계없이 한도 제한없이 전 가맹점 적립 청구할인 신세계포인트 이용 시 추가,['생활서비스'],['전문서비스']
406,네이버페이 플래티넘 롯데카드,롯데카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/502/card_img/21191/502card.png,https://www.card-gorilla.com/card/detail/502,기타 네이버에서 네이버투자통장 삼성증권 CMA계좌 개설 후 네이버에서만 카드신청 가능 적립 또는 네이버페이 포인트 프리미엄 서비스 Platinum Service,"['전자상거래', '생활서비스', '소매/유통']",['인터넷쇼핑']
407,씨티 메가마일 스카이패스,씨티카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/503/card_img/21192/503card.png,https://www.card-gorilla.com/card/detail/503,대한항공 기본적립 원당 마일리지 적립 OTT 영화 문화 특별적립 엔터테인먼트 여행 숙박 생활 라이프 쇼핑 기타 우대 프로그램 프리미엄 서비스,"['공연/전시', '생활서비스', '여가/오락']","['숙박', '문화서비스']"
408,씨티 메가마일 아시아나,씨티카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/504/card_img/21193/504card.png,https://www.card-gorilla.com/card/detail/504,아시아나항공 기본적립 원당 마일리지 적립 OTT 영화 문화 특별적립 엔터테인먼트 여행 숙박 생활 라이프 쇼핑 기타 우대 프로그램 프리미엄 서비스,"['공연/전시', '생활서비스', '여가/오락']","['숙박', '문화서비스']"
409,적립조아카드,NH농협카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/505/card_img/21194/505card.png,https://www.card-gorilla.com/card/detail/505,적립 국내이용 시 TOP포인트 해외이용 기타 감사포인트 연 회,"['생활서비스', '소매/유통']",['전문서비스']
410,할인조아카드,NH농협카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/506/card_img/21195/506card.png,https://www.card-gorilla.com/card/detail/506,주유 대 업종 생활할인 전 주유소 LPG 포함 리터당 원 청구할인 영화 CGV 롯데시네마 메가박스 천원 카페 스타벅스 이디야 온라인쇼핑 쿠팡 티몬 위메프 편의점 GS CU 세븐일레븐 대형마트 하나로마트 이마트 홈플러스 롯데마트 대중교통 버스 지하철 이용 시 건당 테마파크 전국 주요 놀이공원 할인 월 회 연,"['전자상거래', '디저트', '식사', '소매/유통', '생활서비스', '여가/오락']","['취미/오락', '음/식료품소매', '교통서비스', '연료판매', '제과/제빵/떡/케익', '인터넷쇼핑', '커피/음료']"
411,쇼핑조아카드,NH농협카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/507/card_img/21196/507card.png,https://www.card-gorilla.com/card/detail/507,간편결제 페이 결제 시 할인 쇼핑 온라인 오프라인 모든가맹점 전 가맹점 기본할인,"['전자상거래', '생활서비스']",['전문서비스']
412,올바른 Edu 카드,NH농협카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/508/card_img/21197/508card.png,https://www.card-gorilla.com/card/detail/508,교육 육아 학원비 청구할인 초 중 고교 교육비 자동납부 시 천원 생활 대 업종 금융 전자금융 수수료 면제,['생활서비스'],['전문서비스']
413,올바른 POINT UP 카드,NH농협카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/512/card_img/21198/512card.png,https://www.card-gorilla.com/card/detail/512,모든가맹점 적립한도 없이 기본 적립 우대 최대 생활 생활영역 추가적립 공항라운지 PP 국제공항 라운지 무료이용 금융 전자금융 수수료 면제,['생활서비스'],['전문서비스']
414,올바른 POINT UP+ 카드,NH농협카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/513/card_img/21199/513card.png,https://www.card-gorilla.com/card/detail/513,모든가맹점 적립한도 없이 기본 적립 우대 최대 생활 생활영역 추가적립 금융 전자금융 수수료 면제,['생활서비스'],['전문서비스']
415,올바른 BAZIC 카드,NH농협카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/514/card_img/30933/514card.png,https://www.card-gorilla.com/card/detail/514,모든가맹점 할인한도 없이 할인 해외 해외이용가맹점 청구할인 공항라운지 PP 국제공항 라운지 무료이용,['생활서비스'],['전문서비스']
416,올바른 BAZIC+ 카드,NH농협카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/516/card_img/21201/516card.png,https://www.card-gorilla.com/card/detail/516,모든가맹점 할인한도 없이 할인 해외 해외이용가맹점 청구할인 생활 선택영역 개 영역,['생활서비스'],['전문서비스']
417,NH1934 체크카드,NH농협카드,체크카드,https://d1c5n4ri2guedi.cloudfront.net/card/517/card_img/21202/517card.png,https://www.card-gorilla.com/card/detail/517,모든가맹점 국내 외 전 가맹점 청구할인 은행사 NH 체크카드 우대통장 교차이용 혜택,['생활서비스'],['전문서비스']
418,신한카드 Deep ECO,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/518/card_img/21203/518card.png,https://www.card-gorilla.com/card/detail/518,기타 기부서비스 국내 외 가맹점 ECO 기부 포인트 적립 교통 캐시백 서비스 온라인쇼핑 온라인 Recycling OTT 영화 문화 Paperless 생활 Health Care 워킹 보험,"['전자상거래', '공연/전시', '생활서비스']","['인터넷쇼핑', '문화서비스']"
419,신한카드 D-day,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/519/card_img/21204/519card.png,https://www.card-gorilla.com/card/detail/519,편의점 DAY 서비스 월요일 화요일 수요일 적립 영화 목요일 예매 푸드 금요일 요식업종 가맹점 뷰티 피트니스 토요일 뷰티업종 온라인쇼핑 일요일 온라인 쇼핑 이용금액 대중교통 버스 지하철 카페 디저트 WEEK 매주 오전 스타벅스 최대 원 할인 음원사이트 MONTH 멜론 음악 아마존프라임비디오 스트리밍 공항라운지 PP YEAR 라운지 무료입장 에어서울,"['전자상거래', '디저트', '식사', '소매/유통', '생활서비스', '여가/오락']","['음/식료품소매', '교통서비스', '제과/제빵/떡/케익', '한식', '인터넷쇼핑', '커피/음료']"
420,스마일 신용카드,현대카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/520/card_img/21205/520card.png,https://www.card-gorilla.com/card/detail/520,모든가맹점 스마일캐시 적립,"['생활서비스', '소매/유통']",['전문서비스']
421,카드의정석 베트남여행,우리카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/521/card_img/21206/521card.png,https://www.card-gorilla.com/card/detail/521,온라인쇼핑 온라인 쇼핑 청구할인 오프라인 해외이용 베트남 현지 가맹점 공항라운지 PP 국내외 무료 이용 서비스 주유 주말 대 주유소 리터당 원 카페 디저트 스타벅스 폴바셋,"['디저트', '전자상거래', '생활서비스', '식사']","['인터넷쇼핑', '제과/제빵/떡/케익', '연료판매']"
422,Liiv M 카드,KB국민카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/522/card_img/21207/522card.png,https://www.card-gorilla.com/card/detail/522,통신 통신요금 자동이체 만원 만 천원 청구할인 프리미엄 서비스 Liiv M 마스터 티타늄,"['디저트', '생활서비스']","['커피/음료', '교통서비스']"
423,Liiv M 체크카드,KB국민카드,체크카드,https://d1c5n4ri2guedi.cloudfront.net/card/523/card_img/21208/523card.png,https://www.card-gorilla.com/card/detail/523,통신 이동통신요금 환급할인 소셜커머스 번가 여행 숙박 야놀자 편의점 CU편의점,"['생활서비스', '소매/유통', '여가/오락']","['숙박', '음/식료품소매', '교통서비스']"
424,한국야쿠르트 팝 신한카드 체크,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/524/card_img/21209/524card.png,https://www.card-gorilla.com/card/detail/524,푸드 한국야쿠르트 정기주문 hyFresh 캐시백 마트 편의점 GS리테일 매장 GS GS수퍼마켓 랄라블라 카페 스타벅스,"['디저트', '식사', '소매/유통']","['음/식료품소매', '제과/제빵/떡/케익']"
425,에너지플러스카드,현대카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/525/card_img/21211/525card.png,https://www.card-gorilla.com/card/detail/525,주유소 GS칼텍스에서 주유 시 리터당 포인트 GS POINT 적립 생활 생활편의영역에서 결제 모든가맹점 그 외 가맹점에서,"['생활서비스', '소매/유통']",['연료판매']
426,NH농협 올바른LIFE카드(할인형),NH농협카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/526/card_img/21212/526card.png,https://www.card-gorilla.com/card/detail/526,온라인쇼핑 청구할인 대형마트 병원 약국 도서 서점 카페 디저트 커피 제과점 영화 편의점 통신 이동통신요금 자동납부건 천원 테마파크 전국 주요 놀이공원 할인,"['전자상거래', '의료/건강', '디저트', '식사', '소매/유통', '생활서비스', '여가/오락']","['취미/오락', '음/식료품소매', '교통서비스', '제과/제빵/떡/케익', '인터넷쇼핑', '일반병원', '커피/음료']"
427,NH농협 올바른LIFE카드(적립형),NH농협카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/527/card_img/21214/527card.png,https://www.card-gorilla.com/card/detail/527,무실적 국내 외 이용가맹점 기본적립 기타 생활 여가 해외업종 추가적립 멤버십포인트 리워드 포인트 제공 매년 회,['생활서비스'],['전문서비스']
428,라이언 치즈 체크카드,NH농협카드,체크카드,https://d1c5n4ri2guedi.cloudfront.net/card/528/card_img/21216/528card.png,https://www.card-gorilla.com/card/detail/528,카페 커피 월 금 토 일 NH포인트 적립 편의점 영화 온라인쇼핑 APP 배달앱 교통 요일관계없이 해외 도서 서점 생활 자기계발 공연 전시 H B 기타 유튜브 넷플릭스 유료 어플리케이션 결제 공항라운지 국제공항 라운지 무료이용 서비스,"['전자상거래', '디저트', '공연/전시', '식사', '소매/유통', '생활서비스', '여가/오락']","['취미/오락', '음식배달서비스', '음/식료품소매', '전시장', '인터넷쇼핑', '공연관람', '커피/음료']"
429,the Red Edition4,현대카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/529/card_img/21218/529card.png,https://www.card-gorilla.com/card/detail/529,모든가맹점 국내외 가맹점에서 기본 M포인트 적립 만원 이상 이용 시 배 바우처 최대 상당의 제공 연 회 프리미엄 서비스 특수 소재 카드 플레이트 제공공항라운지 무료이용 발레파킹서비스 기타 연회비 감면MasterCard VISA,['생활서비스'],['전문서비스']
430,LCC UniMile카드,NH농협카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/530/card_img/21219/530card.png,https://www.card-gorilla.com/card/detail/530,저가항공 저비용항공사 LCC UniMile 적립 모든가맹점 국내 외 가맹점 이용 시 공항라운지 무료 프리미엄 서비스 UnionPay 위탁수하물 생활 할인,['생활서비스'],['전문서비스']
431,NH농협 올바른 하나로(Hanaro) 카드,NH농협카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/531/card_img/21221/531card.png,https://www.card-gorilla.com/card/detail/531,모든가맹점 농협판매장 이용금액의 NH포인트 적립 생활 주요 생활편의업종 이용액의 테마파크 전국 놀이공원 할인 병원 약국 청구할인 공항라운지 국제공항 라운지 무료이용 기타 전자금융 수수료 면제OK Cashbag 제휴서비스,"['의료/건강', '생활서비스', '여가/오락']","['취미/오락', '일반병원']"
432,NH농협 올바른 하나로(Hanaro) 체크카드,NH농협카드,체크카드,https://d1c5n4ri2guedi.cloudfront.net/card/532/card_img/21229/532card.png,https://www.card-gorilla.com/card/detail/532,적립 NH포인트 기본 모든가맹점 농협판매장 추가 OK캐쉬백 OK Cashbag 제휴서비스 공항라운지 국제공항 라운지 무료이용,['생활서비스'],['전문서비스']
433,I’m DRIVING,롯데카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/533/card_img/21231/533card.png,https://www.card-gorilla.com/card/detail/533,주유소 DC ONE 내가 직접 고르는 특별할인 ALL 언제 어디서나 누리는 기본할인 저녁 드라이버 할인 음식점 편의점 주차장 세차장 대리운전 자동차 오토 엔진오일 교환 원 할인자동차보험,"['생활서비스', '소매/유통']","['음/식료품소매', '연료판매', '수리서비스']"
434,인터파크 롯데카드,롯데카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/534/card_img/21232/534card.png,https://www.card-gorilla.com/card/detail/534,무실적 국내외 온 오프라인 가맹점 결제일 청구할인 온라인쇼핑 인터파크,['전자상거래'],['인터넷쇼핑']
435,샤롯데 플래티넘 스타 카드,롯데카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/535/card_img/21234/535card.png,https://www.card-gorilla.com/card/detail/535,쇼핑 롯데면세점 할인우대 롯데백화점 할인 e 쿠폰 등 푸드 T G I FRiDAY S 미스터피자 현장할인 뷰티 피트니스 박준 뷰티랩 박승철 헤어스투디오 프리미엄 매장 제외 기타 롯데월드 본인 종합이용권 롯데시네마 관람권 원 바우처 스페셜기프트 제공 연 회 생활 Be My Guest Star Point Life Support Bonus Present 서비스 AMEX Platinum,"['전자상거래', '디저트', '식사', '소매/유통', '여가/오락']","['취미/오락', '커피/음료']"
436,신한카드 Deep Once,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/536/card_img/21235/536card.png,https://www.card-gorilla.com/card/detail/536,렌탈 개 렌탈사 자동이체 이용 시 마이신한포인트 적립 공과금 생활월납 기타 디지털 구독 서비스 정기결제,['생활서비스'],['차량관리/서비스']
437,신한카드 Deep Once Plus,신한카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/537/card_img/21236/537card.png,https://www.card-gorilla.com/card/detail/537,렌탈 개 렌탈사 자동이체 이용 시 마이신한포인트 적립 공과금 생활월납 기타 디지털 구독 서비스 정기결제 마이신한 포인트 생활 커피 편의점 해외 이용시,"['디저트', '생활서비스', '소매/유통']","['커피/음료', '차량관리/서비스', '음/식료품소매']"
439,샤롯데 비앤 롯데카드,롯데카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/539/card_img/21240/539card.png,https://www.card-gorilla.com/card/detail/539,바우처 만원 상당 기프트카드 제공 생활 외식업종 마트 학원업종 할인 병원 의료업종 개월 무이자 할부 프리미엄 서비스 마스터 플래티넘 기타 라이프 매거진 매월 발송 쇼핑 외식 여가문화 혜택,"['의료/건강', '디저트', '공연/전시', '식사', '소매/유통']","['문화서비스', '한식', '일반병원', '커피/음료', '의약/의료품']"
440,I’m ACTIVE,롯데카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/540/card_img/21243/540card.png,https://www.card-gorilla.com/card/detail/540,병원 약국 동물병원 캐시백 뷰티 피트니스 운동 레저스포츠 건강보조식품 등 선택형 월 이용금액 TOP 그룹 자동으로 기타 누적 만원 달성 시 보너스,"['디저트', '의료/건강']","['커피/음료', '일반병원']"
441,I’m Wonderful Plus,롯데카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/541/card_img/21245/541card.png,https://www.card-gorilla.com/card/detail/541,국내외가맹점 국내외 가맹점 최대 할인,['생활서비스'],['전문서비스']
442,갤러리아 우리카드,우리카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/542/card_img/21246/542card.png,https://www.card-gorilla.com/card/detail/542,백화점 갤러리아 관련 혜택 해외이용 해외 가맹점 해외직구 포함 청구할인 주유소 대 주말 주유시 리터당 원 카페 커피 스타벅스 폴바셋 빈스앤베리스 천원 OTT 영화 문화 CGV 롯데시네마 이상 결제시 청구할인대림미술관 프리미엄 서비스 공항라운지 무료 발렛 파킹,"['전자상거래', '디저트', '공연/전시', '식사', '소매/유통', '생활서비스', '여가/오락']","['커피/음료', '문화서비스', '제과/제빵/떡/케익', '연료판매']"
443,카드의정석 APT,우리카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/543/card_img/21248/543card.png,https://www.card-gorilla.com/card/detail/543,공과금 아파트관리비 공공 임대료 천 천원 청구할인 도시가스 자동납부 원 기타 유튜브 프리미엄 정기권 넷플릭스,"['생활서비스', '여가/오락']",['취미/오락']
444,카드의정석 APT Platinum,우리카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/544/card_img/21249/544card.png,https://www.card-gorilla.com/card/detail/544,공과금 아파트관리비 공공 임대료 천 천원 청구할인 도시가스 자동납부 원 학원 기타 유튜브 프리미엄 정기권 넷플릭스 서비스 전 세계 여개 공항라운지 무료 입장 투어,"['생활서비스', '여가/오락']",['취미/오락']
445,카드의정석 APT CHECK,우리카드,체크카드,https://d1c5n4ri2guedi.cloudfront.net/card/545/card_img/21251/545card.png,https://www.card-gorilla.com/card/detail/545,공과금 아파트관리비 공공 임대료 천 천원 캐시백 기타 유튜브 프리미엄 정기권,"['생활서비스', '여가/오락']",['취미/오락']
446,다둥이 행복카드,우리카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/546/card_img/21252/546card.png,https://www.card-gorilla.com/card/detail/546,대중교통 대중교통요금 할인 적립 모아포인트 최고 주유소 GS칼텍스 리터당 최대 원 청구할인 패밀리레스토랑 패밀리 레스토랑 OTT 영화 문화 놀이공원 콘도 쇼핑 유명의류 한국프뢰벨 현대홈쇼핑 특별할인서비스 생활 자동차 통신 등 생활서비스 제공,"['공연/전시', '식사', '소매/유통', '생활서비스', '여가/오락']","['취미/오락', '교통서비스', '연료판매', '의복/의류', '문화서비스', '휴게소/대형업체']"
448,아이행복카드,IBK기업은행,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/549/card_img/21254/549card.png,https://www.card-gorilla.com/card/detail/549,통신 이동통신요금 자동이체시 원 청구할인 온라인쇼핑 주요 온라인쇼핑몰 소셜커머스 푸드 패밀리레스토랑 커피전문점 교육 육아 어린이집 유치원 학원 병원 병 의원 업종 생활 그린카드 멤버십 다둥이클럽 서비스 등,"['전자상거래', '의료/건강', '디저트', '식사', '소매/유통', '생활서비스']","['교통서비스', '제과/제빵/떡/케익', '인터넷쇼핑', '휴게소/대형업체', '일반병원', '커피/음료']"
449,에이스플러스체크카드 (벨리미키),SC제일은행,체크카드,https://d1c5n4ri2guedi.cloudfront.net/card/550/card_img/21255/550card.png,https://www.card-gorilla.com/card/detail/550,영화 인터넷 예매시 원 청구할인 테마파크 유명 놀이공원 무료입장 또는 자유이용권 현장할인 패밀리레스토랑 카페 스타벅스 도서 교보문고 온라인 포함 Yes 주유소 GS칼텍스 리터당 면세점 동화면세점 최고 멤버십포인트 오 포인트 추가 할인 및 적립,"['디저트', '생활서비스', '식사', '여가/오락']","['취미/오락', '휴게소/대형업체', '제과/제빵/떡/케익', '연료판매']"
450,Easy link 티타늄카드,KB국민카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/551/card_img/21256/551card.png,https://www.card-gorilla.com/card/detail/551,생활 자동납부 천원 만원 캐시백 통신 통신요금 청구할인 영화 기타 정기결제 선택형 Easy link 선택서비스 택 프리미엄 서비스 티타늄,"['디저트', '생활서비스', '여가/오락']","['커피/음료', '교통서비스']"
451,삼성카드 2 V4,삼성카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/552/card_img/21257/552card.png,https://www.card-gorilla.com/card/detail/552,카페 디저트 커피전문점 편의점 할인 기타 교통 통신 생활 필수 영역 해외 항공권 영화 원 결제일할인 청구할인,"['디저트', '식사', '생활서비스', '소매/유통']","['커피/음료', '음/식료품소매', '제과/제빵/떡/케익']"
452,삼성카드 3 V4,삼성카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/553/card_img/21258/553card.png,https://www.card-gorilla.com/card/detail/553,마트 편의점 배달앱 신선식품 배송 커피전문점 제과점 할인 쇼핑 할인점 온라인쇼핑몰 해외 기타 교육 주유 테마파크 놀이공원 워터파크 영화 원 결제일할인 청구할인 생활 생활요금 자동납부 서비스포인트 적립,"['전자상거래', '디저트', '식사', '소매/유통', '생활서비스', '여가/오락']","['취미/오락', '음식배달서비스', '음/식료품소매', '연료판매', '제과/제빵/떡/케익', '인터넷쇼핑', '커피/음료']"
453,삼성카드 6 V4,삼성카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/554/card_img/21259/554card.png,https://www.card-gorilla.com/card/detail/554,주유 모든 주유소 리터당 원 결제일할인 청구할인 정비 차량 점검 서비스 모든가맹점 국내외 가맹점 할인 쇼핑 생활 필수 영역 패밀리레스토랑 VIPS 영화 생활요금 자동납부 서비스포인트 적립,"['생활서비스', '식사']","['휴게소/대형업체', '연료판매', '수리서비스']"
454,삼성카드 4 V4,삼성카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/555/card_img/21260/555card.png,https://www.card-gorilla.com/card/detail/555,카페 디저트 커피전문점 편의점 제과점 할인 모든가맹점 국내외 가맹점 기타 할인점 주유 의료 홈쇼핑 영화 원 결제일할인 청구할인 생활 생활요금 자동납부 서비스포인트 적립,"['의료/건강', '디저트', '식사', '소매/유통', '생활서비스']","['음/식료품소매', '연료판매', '제과/제빵/떡/케익', '커피/음료', '의약/의료품']"
455,삼성카드 4 V4 (포인트),삼성카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/556/card_img/21261/556card.png,https://www.card-gorilla.com/card/detail/556,카페 디저트 커피전문점 편의점 제과점 빅포인트 적립 모든가맹점 국내외 가맹점 기타 할인점 주유 의료 홈쇼핑 영화 원 결제일할인 청구할인 생활 생활요금 자동납부 서비스포인트,"['의료/건강', '디저트', '식사', '소매/유통', '생활서비스']","['음/식료품소매', '연료판매', '제과/제빵/떡/케익', '커피/음료', '의약/의료품']"
456,삼성카드 5 V4,삼성카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/557/card_img/21262/557card.png,https://www.card-gorilla.com/card/detail/557,교육 육아 학원 학습지 인터넷강의 서점 결제일할인 청구할인 쇼핑 할인점 온라인쇼핑몰 해외 병원 약국 의료 카페 디저트 커피전문점 제과점 영화 원 레저 스포츠 놀이공원 자유이용권 워터파크 입장권 현장할인 생활 생활요금 자동납부 서비스포인트 적립 기타 국제브랜드 서비스 해외겸용카드 전용,"['전자상거래', '의료/건강', '디저트', '식사', '소매/유통', '생활서비스', '여가/오락']","['취미/오락', '제과/제빵/떡/케익', '인터넷쇼핑', '일반병원', '커피/음료', '의약/의료품']"
458,펭수 노리 체크카드(펭카),KB국민카드,체크카드,https://d1c5n4ri2guedi.cloudfront.net/card/559/card_img/21264/559card.png,https://www.card-gorilla.com/card/detail/559,대중교통 버스 지하철 청구할인 통신 이동통신요금 원 환급할인 영화 CGV 푸드 아웃백 VIPS 스타벅스 테마파크 에버랜드 롯데월드 금융 금융수수료 면제 서비스 편의점 GS 도서 교보문고 기타 통합할인한도,"['디저트', '식사', '소매/유통', '생활서비스', '여가/오락']","['취미/오락', '음/식료품소매', '교통서비스', '제과/제빵/떡/케익', '휴게소/대형업체']"
459,위 레아카드(아시아나클럽),NH농협카드,신용카드,https://d1c5n4ri2guedi.cloudfront.net/card/560/card_img/21265/560card.png,https://www.card-gorilla.com/card/detail/560,아시아나항공 국내 마일리지 해외 적립국내 특별 가맹점 적립 바우처 프리미엄 서비스 매년 회 택 보너스 포인트 공항라운지 전세계 공항 라운지 무료 이용 MASTERCARD WORLD PREMIUM SERVICES,['생활서비스'],['전문서비스']
